================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-03T14:41:49.252972
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260303_144149.log
================================================================================

[2026-03-03T14:41:49.254966] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-03T14:41:50.139617] [CONNECTED] Conexão estabelecida em DEMO-EU
[2026-03-03T14:41:53.356948] [RECV] Mensagem recebida (37401 bytes): {"asset":"NZDUSD_otc","period":1,"history":[[1772566178.702,0.58747],[1772566179.202,0.58749],[1772566179.702,0.5875],[1772566180.1,0.5875],[1772566180.701,0.58756],[1772566181.202,0.58758],[177256618...
[2026-03-03T14:41:53.482473] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:53.491064] [RECV] Mensagem recebida (37240 bytes): {"asset":"USDCAD_otc","period":1,"history":[[1772566181.702,1.36826],[1772566182.219,1.36827],[1772566182.72,1.36825],[1772566183.1,1.36825],[1772566183.72,1.36835],[1772566184.22,1.36833],[1772566184...
[2026-03-03T14:41:53.688365] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:53.698057] [RECV] Mensagem recebida (37313 bytes): {"asset":"USDJPY_otc","period":1,"history":[[1772566180.1,159.659],[1772566180.701,159.665],[1772566181.202,159.662],[1772566181.702,159.663],[1772566182.219,159.664],[1772566182.72,159.662],[17725661...
[2026-03-03T14:41:53.745670] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:53.810582] [RECV] Mensagem recebida (39 bytes): [["AUDCHF_otc",1772566913.312,0.49283]]
[2026-03-03T14:41:53.811579] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:53.812577] [RECV] Mensagem recebida (39 bytes): [["CADCHF_otc",1772566913.312,0.61505]]
[2026-03-03T14:41:53.813817] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:53.813817] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772566913.312,115.447]]
[2026-03-03T14:41:53.814332] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:53.815319] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772566913.312,1.17456]]
[2026-03-03T14:41:53.816333] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
