================================================================================
WebSocket Connection Log
Connection ID: ativos_0dfe1755f9d2
Connection Type: ativos
User: ATIVOS Client 1
Created: 2026-03-06T14:26:44.249446
Log File: ATIVOS_Client_1_ativos_ativos_0dfe1755f9d2_20260306_142644.log
================================================================================

[2026-03-06T14:26:44.250444] [INIT] Iniciando ATIVOS Client #1
  Data: {"account_idx": 0, "user_name": "ATIVOS Client 1", "stable_id": "0dfe1755f9d2"}
[2026-03-06T14:26:45.926163] [CONNECT] Cliente conectado com sucesso
[2026-03-06T14:26:45.931338] [AUTH] Autenticação bem-sucedida
  Data: {"account_idx": 0, "data_keys": []}
[2026-03-06T14:26:45.952356] [CALLBACK:json_data] | keys: ['id']
[2026-03-06T14:26:45.953340] [CALLBACK:json_data] | event: updateOpenedDeals
[2026-03-06T14:26:45.953340] [CALLBACK:json_data]
[2026-03-06T14:26:45.953340] [CALLBACK:json_data] | event: updateCharts
[2026-03-06T14:26:45.954338] [CALLBACK:json_data]
[2026-03-06T14:26:45.956979] [CALLBACK:json_data]
[2026-03-06T14:26:45.957499] [CALLBACK:json_data] | event: successupdatePending
[2026-03-06T14:26:45.957499] [CALLBACK:json_data]
[2026-03-06T14:26:47.443243] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:47.627790] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:47.629474] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:47.965093] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:48.055086] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:48.057187] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:48.058161] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:48.490271] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:48.492516] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:48.493428] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:48.495122] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:48.496675] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:48.497185] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:48.499259] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:48.959317] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:49.011014] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:49.013006] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:49.015002] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:49.015998] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:49.017680] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:49.018626] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:49.494068] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:49.512372] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:49.514925] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:49.515920] [CALLBACK:stream_update] | symbols: ['EURNZD_otc']
[2026-03-06T14:26:49.517945] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:49.518912] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:49.520509] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:49.521029] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:49.979196] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:50.084603] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:50.086463] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:50.088104] [CALLBACK:stream_update] | symbols: ['EURNZD_otc']
[2026-03-06T14:26:50.089099] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:50.091094] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:50.092729] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:50.094255] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:50.353229] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:50.354226] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:50.356387] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:50.357406] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:50.358932] [CALLBACK:stream_update] | symbols: ['EURNZD_otc']
[2026-03-06T14:26:50.359964] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:50.361467] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:50.362519] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:50.542601] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:50.544138] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:50.546179] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:50.547193] [CALLBACK:stream_update] | symbols: ['EURNZD_otc']
[2026-03-06T14:26:50.548209] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:50.549187] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:50.551315] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:50.552356] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:51.023123] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:51.024684] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:51.026251] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:51.027277] [CALLBACK:stream_update] | symbols: ['EURNZD_otc']
[2026-03-06T14:26:51.119620] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:51.121615] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:51.122613] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:51.124608] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:51.528794] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:51.530743] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:51.531740] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:51.533735] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:51.534732] [CALLBACK:stream_update] | symbols: ['EURNZD_otc']
[2026-03-06T14:26:51.536239] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:51.537235] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:51.538232] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:51.980695] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:52.045953] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:52.047457] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:52.049143] [CALLBACK:stream_update] | symbols: ['EURNZD_otc']
[2026-03-06T14:26:52.050349] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:52.051883] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:52.052389] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:52.054382] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:52.492651] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:52.571295] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:52.573320] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:52.574317] [CALLBACK:stream_update] | symbols: ['EURNZD_otc']
[2026-03-06T14:26:52.575965] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:52.576960] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:52.577958] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:52.579269] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:52.994564] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:53.156709] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:53.158213] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:53.159742] [CALLBACK:stream_update] | symbols: ['EURNZD_otc']
[2026-03-06T14:26:53.160825] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:53.161774] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:53.162771] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-06T14:26:53.164765] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-06T14:26:53.512520] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-06T14:26:53.514515] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-06T14:26:53.515512] [CALLBACK:stream_update] | symbols: ['AUDUSD_otc']
[2026-03-06T14:26:53.517312] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-06T14:26:53.518815] [CALLBACK:stream_update] | symbols: ['EURNZD_otc']
[2026-03-06T14:26:53.519812] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-06T14:26:53.520809] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
