================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-06T14:26:44.253339
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260306_142644.log
================================================================================

[2026-03-06T14:26:44.254337] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-06T14:26:45.197369] [CONNECTED] Conexão estabelecida em DEMO-EU
  Data: {"url": "wss://demo-api-eu.po.market/socket.io/?EIO=4&transport=websocket", "region": "DEMO-EU", "total_reconnects": 0}
[2026-03-06T14:26:45.417029] [AUTH] Autenticação bem-sucedida
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "user_name": "ATIVOS Client 1", "is_demo": true}
[2026-03-06T14:26:45.928107] [PING] Ping enviado
[2026-03-06T14:26:45.928674] [RECV] Mensagem recebida (50 bytes): 451-["updateAssets",{"_placeholder":true,"num":0}]
[2026-03-06T14:26:45.929609] [RECV] Mensagem recebida (44248 bytes): [[5,"#AAPL","Apple","stock",2,50,60,30,3,0,170,0,[],1772830800,false,[{"time":60},{"time":120},{"time":180},{"time":300},{"time":600},{"time":900},{"time":1800},{"time":2700},{"time":3600},{"time":720...
[2026-03-06T14:26:45.931338] [RECV] Mensagem recebida (49 bytes): 451-["successauth",{"_placeholder":true,"num":0}]
[2026-03-06T14:26:45.952356] [RECV] Mensagem recebida (29 bytes): {"id":"ulCrAiiRXvgWLAGaGCP7"}
[2026-03-06T14:26:45.953340] [RECV] Mensagem recebida (55 bytes): 451-["updateOpenedDeals",{"_placeholder":true,"num":0}]
[2026-03-06T14:26:45.953340] [RECV] Mensagem recebida (2 bytes): []
[2026-03-06T14:26:45.953340] [RECV] Mensagem recebida (50 bytes): 451-["updateCharts",{"_placeholder":true,"num":0}]
[2026-03-06T14:26:45.954338] [RECV] Mensagem recebida (484 bytes): [{"chart_id":"chart-1","settings":"{\"chartId\":\"chart-1\",\"chartType\":1,\"chartPeriod\":4,\"candlesTimer\":false,\"symbol\":\"EURUSD_otc\",\"demoDealAmount\":10,\"liveDealAmount\":1,\"enabledTrade...
[2026-03-06T14:26:45.954338] [RECV] Mensagem recebida (58 bytes): 451-["successupdateBalance",{"_placeholder":true,"num":0}]
[2026-03-06T14:26:45.955399] [RECV] Mensagem recebida (28 bytes): {"isDemo":1,"balance":50000}
[2026-03-06T14:26:45.955928] [RECV] Mensagem recebida (55 bytes): 451-["updateClosedDeals",{"_placeholder":true,"num":0}]
[2026-03-06T14:26:45.956979] [RECV] Mensagem recebida (2 bytes): []
[2026-03-06T14:26:45.956979] [RECV] Mensagem recebida (58 bytes): 451-["successupdatePending",{"_placeholder":true,"num":0}]
[2026-03-06T14:26:45.957499] [RECV] Mensagem recebida (2 bytes): []
[2026-03-06T14:26:47.200850] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
